index,PAGE_NAME,COLUMN_NAME,DATA_TYPE,IS_PERCENT_DATA,DESCRIPTION,REFERENCE
29,Demographics,White,Decimal,Y,"County data, White","Data Sources, Definitions, and Notes, Page 5"
30,Demographics,Min_White,Decimal,Y,"Tenth percentile from peer counties, White","Data Sources, Definitions, and Notes, Page 5"
31,Demographics,Max_White,Decimal,Y,"Nintieth percentile from peer counties, White","Data Sources, Definitions, and Notes, Page 5"
32,Demographics,Black,Decimal,Y,"County data, Black","Data Sources, Definitions, and Notes, Page 5"
33,Demographics,Min_Black,Decimal,Y,"Tenth percentile from peer counties, Black","Data Sources, Definitions, and Notes, Page 5"
34,Demographics,Max_Black,Decimal,Y,"Nintieth percentile from peer counties, Black","Data Sources, Definitions, and Notes, Page 5"
35,Demographics,Native_American,Decimal,Y,"County data, American Indian","Data Sources, Definitions, and Notes, Page 5"
36,Demographics,Min_Native_American,Decimal,Y,"Tenth percentile from peer counties, American Indian","Data Sources, Definitions, and Notes, Page 5"
37,Demographics,Max_Native_American,Decimal,Y,"Nintieth percentile from peer counties, American Indian","Data Sources, Definitions, and Notes, Page 5"
38,Demographics,Asian,Decimal,Y,"County data, Asian/Pacific Islander","Data Sources, Definitions, and Notes, Page 5"
39,Demographics,Min_Asian,Decimal,Y,"Tenth percentile from peer counties, Asian/Pacific Islander","Data Sources, Definitions, and Notes, Page 5"
40,Demographics,Max_Asian,Decimal,Y,"Nintieth percentile from peer counties, Asian/Pacific Islander","Data Sources, Definitions, and Notes, Page 5"
41,Demographics,Hispanic,Decimal,Y,"County data, Hispanic origin","Data Sources, Definitions, and Notes, Page 5"
42,Demographics,Min_Hispanic,Decimal,Y,"Tenth percentile from peer counties, Hispanic origin","Data Sources, Definitions, and Notes, Page 5"
43,Demographics,Max_Hispanic,Decimal,Y,"Nintieth percentile from peer counties, Hispanic origin","Data Sources, Definitions, and Notes, Page 5"
44,SummaryMeasuresOfHealth,State_FIPS_Code,Text,N,"Two-digit state identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
45,SummaryMeasuresOfHealth,County_FIPS_Code,Text,N,"Three-digit county identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
46,SummaryMeasuresOfHealth,CHSI_County_Name,Text,N,Name of county,
47,SummaryMeasuresOfHealth,CHSI_State_Name,Text,N,Name of State or District of Columbia,
48,SummaryMeasuresOfHealth,CHSI_State_Abbr,Text,N,Two-character postal abbreviation for state name,
49,SummaryMeasuresOfHealth,Strata_ID_Number,Integer,N,CHSI Peer County Stratum Number,"Data Sources, Definitions, and Notes, Pages 6-8"
50,SummaryMeasuresOfHealth,ALE,Decimal,N,"County data, average life expectancy","Data Sources, Definitions, and Notes, Page 9"
51,SummaryMeasuresOfHealth,Min_ALE,Decimal,N,"Tenth percentile from peer counties, average life expectancy","Data Sources, Definitions, and Notes, Page 9"
52,SummaryMeasuresOfHealth,Max_ALE,Decimal,N,"Nintieth percentile from peer counties, average life expectancy","Data Sources, Definitions, and Notes, Page 9"
53,SummaryMeasuresOfHealth,US_ALE,Decimal,N,"Medium for all U.S. counties, average life expectancy","Data Sources, Definitions, and Notes, Page 9"
54,SummaryMeasuresOfHealth,All_Death,Decimal,N,"County data, all causes of death","Data Sources, Definitions, and Notes, Page 9"
55,SummaryMeasuresOfHealth,Min_All_Death,Decimal,N,"Tenth percentile from peer counties, all causes of death","Data Sources, Definitions, and Notes, Page 9"
56,SummaryMeasuresOfHealth,Max_All_Death,Decimal,N,"Nintieth percentile from peer counties, all causes of death","Data Sources, Definitions, and Notes, Page 9"
57,SummaryMeasuresOfHealth,US_All_Death,Decimal,N,"Medium for all U.S. counties, all causes of death","Data Sources, Definitions, and Notes, Page 9"
58,SummaryMeasuresOfHealth,CI_Min_All_Death,Decimal,N,"Confidence interval lower limit, all causes of death","Data Sources, Definitions, and Notes, Page 9"
59,SummaryMeasuresOfHealth,CI_Max_All_Death,Decimal,N,"Confidence interval upper limit, all causes of death","Data Sources, Definitions, and Notes, Page 9"
60,SummaryMeasuresOfHealth,Health_Status,Decimal,Y,"County data, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
61,SummaryMeasuresOfHealth,Min_Health_Status,Decimal,Y,"Tenth percentile from peer counties, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
62,SummaryMeasuresOfHealth,Max_Health_Status,Decimal,Y,"Nintieth percentile from peer counties, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
63,SummaryMeasuresOfHealth,US_Health_Status,Decimal,Y,"Medium for all U.S. counties, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
64,SummaryMeasuresOfHealth,CI_Min_Health_Status,Decimal,Y,"Confidence interval lower limit, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
65,SummaryMeasuresOfHealth,CI_Max_Health_Status,Decimal,Y,"Confidence interval upper limit, self-rated health status","Data Sources, Definitions, and Notes, Page 9-10"
66,SummaryMeasuresOfHealth,Unhealthy_Days,Decimal,N,"County data, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
67,SummaryMeasuresOfHealth,Min_Unhealthy_Days,Decimal,N,"Tenth percentile from peer counties, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
68,SummaryMeasuresOfHealth,Max_Unhealthy_Days,Decimal,N,"Nintieth percentile from peer counties, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
69,SummaryMeasuresOfHealth,US_Unhealthy_Days,Decimal,N,"Medium for all U.S. counties, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
70,SummaryMeasuresOfHealth,CI_Min_Unhealthy_Days,Decimal,N,"Confidence interval lower limit, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
71,SummaryMeasuresOfHealth,CI_Max_Unhealthy_Days,Decimal,N,"Confidence interval upper limit, average number of unhealthy days in past month","Data Sources, Definitions, and Notes, Page 10"
72,LeadingCausesOfDeath,State_FIPS_Code,Text,N,"Two-digit state identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
73,LeadingCausesOfDeath,County_FIPS_Code,Text,N,"Three-digit county identifier, developed by the National Bureau of Standards","Data Sources, Definitions, and Notes, Page 6"
74,LeadingCausesOfDeath,CHSI_County_Name,Text,N,Name of county,
75,LeadingCausesOfDeath,CHSI_State_Name,Text,N,Name of State or District of Columbia,
76,LeadingCausesOfDeath,CHSI_State_Abbr,Text,N,Two-character postal abbreviation for state name,
77,LeadingCausesOfDeath,Strata_ID_Number,Integer,N,CHSI Peer County Stratum Number,"Data Sources, Definitions, and Notes, Pages 6-8"
78,LeadingCausesOfDeath,A_Wh_Comp,Integer,Y,"County data, under age 1, complications of pregnancy/birth, White","Data Sources, Definitions, and Notes, Page 10-12"
79,LeadingCausesOfDeath,CI_Min_A_Wh_Comp,Integer,Y,"Confidence interval lower limit, under age 1, complications of pregnancy/birth, White","Data Sources, Definitions, and Notes, Page 10-12"
80,LeadingCausesOfDeath,CI_Max_A_Wh_Comp,Integer,Y,"Confidence interval upper limit, under age 1, complications of pregnancy/birth, White","Data Sources, Definitions, and Notes, Page 10-12"
81,LeadingCausesOfDeath,A_Bl_Comp,Integer,Y,"County data, under age 1, complications of pregnancy/birth, Black","Data Sources, Definitions, and Notes, Page 10-12"
82,LeadingCausesOfDeath,CI_Min_A_Bl_Comp,Integer,Y,"Confidence interval lower limit, under age 1, complications of pregnancy/birth, Black","Data Sources, Definitions, and Notes, Page 10-12"
83,LeadingCausesOfDeath,CI_Max_A_Bl_Comp,Integer,Y,"Confidence interval upper limit, under age 1, complications of pregnancy/birth, Black","Data Sources, Definitions, and Notes, Page 10-12"
84,LeadingCausesOfDeath,A_Ot_Comp,Integer,Y,"County data, under age 1, complications of pregnancy/birth, other","Data Sources, Definitions, and Notes, Page 10-12"
85,LeadingCausesOfDeath,CI_Min_A_Ot_Comp,Integer,Y,"Confidence interval lower limit, under age 1, complications of pregnancy/birth, other","Data Sources, Definitions, and Notes, Page 10-12"
86,LeadingCausesOfDeath,CI_Max_A_Ot_Comp,Integer,Y,"Confidence interval upper limit, under age 1, complications of pregnancy/birth, other","Data Sources, Definitions, and Notes, Page 10-12"
87,LeadingCausesOfDeath,A_Hi_Comp,Integer,Y,"County data, under age 1, complications of pregnancy/birth, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
88,LeadingCausesOfDeath,CI_Min_A_Hi_Comp,Integer,Y,"Confidence interval lower limit, under age 1, complications of pregnancy/birth, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
89,LeadingCausesOfDeath,CI_Max_A_Hi_Comp,Integer,Y,"Confidence interval upper limit, under age 1, complications of pregnancy/birth, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
90,LeadingCausesOfDeath,A_Wh_BirthDef,Integer,Y,"County data, under age 1, birth defects, White","Data Sources, Definitions, and Notes, Page 10-12"
91,LeadingCausesOfDeath,CI_Min_A_Wh_BirthDef,Integer,Y,"Confidence interval lower limit, under age 1, birth defects, White","Data Sources, Definitions, and Notes, Page 10-12"
92,LeadingCausesOfDeath,CI_Max_A_Wh_BirthDef,Integer,Y,"Confidence interval upper limit, under age 1, birth defects, White","Data Sources, Definitions, and Notes, Page 10-12"
93,LeadingCausesOfDeath,A_Bl_BirthDef,Integer,Y,"County data, under age 1, birth defects, Black","Data Sources, Definitions, and Notes, Page 10-12"
94,LeadingCausesOfDeath,CI_Min_A_Bl_BirthDef,Integer,Y,"Confidence interval lower limit, under age 1, birth defects, Black","Data Sources, Definitions, and Notes, Page 10-12"
95,LeadingCausesOfDeath,CI_Max_A_Bl_BirthDef,Integer,Y,"Confidence interval upper limit, under age 1, birth defects, Black","Data Sources, Definitions, and Notes, Page 10-12"
96,LeadingCausesOfDeath,A_Ot_BirthDef,Integer,Y,"County data, under age 1, birth defects, other","Data Sources, Definitions, and Notes, Page 10-12"
97,LeadingCausesOfDeath,CI_Min_A_Ot_BirthDef,Integer,Y,"Confidence interval lower limit, under age 1, birth defects, other","Data Sources, Definitions, and Notes, Page 10-12"
98,LeadingCausesOfDeath,CI_Max_A_Ot_BirthDef,Integer,Y,"Confidence interval upper limit, under age 1, birth defects, other","Data Sources, Definitions, and Notes, Page 10-12"
99,LeadingCausesOfDeath,A_Hi_BirthDef,Integer,Y,"County data, under age 1, birth defects, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
100,LeadingCausesOfDeath,CI_Min_A_Hi_BirthDef,Integer,Y,"Confidence interval lower limit, under age 1, birth defects, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
101,LeadingCausesOfDeath,CI_Max_A_Hi_BirthDef,Integer,Y,"Confidence interval upper limit, under age 1, birth defects, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
102,LeadingCausesOfDeath,B_Wh_Injury,Integer,Y,"County data, ages 1-14, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
103,LeadingCausesOfDeath,CI_Min_B_Wh_Injury,Integer,Y,"Confidence interval lower limit, ages 1-14, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
104,LeadingCausesOfDeath,CI_Max_B_Wh_Injury,Integer,Y,"Confidence interval upper limit, ages 1-14, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
105,LeadingCausesOfDeath,B_Bl_Injury,Integer,Y,"County data, ages 1-14, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
106,LeadingCausesOfDeath,CI_Min_B_Bl_Injury,Integer,Y,"Confidence interval lower limit, ages 1-14, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
107,LeadingCausesOfDeath,CI_Max_B_Bl_Injury,Integer,Y,"Confidence interval upper limit, ages 1-14, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
108,LeadingCausesOfDeath,B_Ot_Injury,Integer,Y,"County data, ages 1-14, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
109,LeadingCausesOfDeath,CI_Min_B_Ot_Injury,Integer,Y,"Confidence interval lower limit, ages 1-14, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
110,LeadingCausesOfDeath,CI_Max_B_Ot_Injury,Integer,Y,"Confidence interval upper limit, ages 1-14, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
111,LeadingCausesOfDeath,B_Hi_Injury,Integer,Y,"County data, ages 1-14, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
112,LeadingCausesOfDeath,CI_Min_B_Hi_Injury,Integer,Y,"Confidence interval lower limit, ages 1-14, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
113,LeadingCausesOfDeath,CI_Max_B_Hi_Injury,Integer,Y,"Confidence interval upper limit, ages 1-14, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
114,LeadingCausesOfDeath,B_Wh_Cancer,Integer,Y,"County data, ages 1-14, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
115,LeadingCausesOfDeath,CI_Min_B_Wh_Cancer,Integer,Y,"Confidence interval lower limit, ages 1-14, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
116,LeadingCausesOfDeath,CI_Max_B_Wh_Cancer,Integer,Y,"Confidence interval upper limit, ages 1-14, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
117,LeadingCausesOfDeath,B_Bl_Cancer,Integer,Y,"County data, ages 1-14, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
118,LeadingCausesOfDeath,CI_Min_B_Bl_Cancer,Integer,Y,"Confidence interval lower limit, ages 1-14, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
119,LeadingCausesOfDeath,CI_Max_B_Bl_Cancer,Integer,Y,"Confidence interval upper limit, ages 1-14, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
120,LeadingCausesOfDeath,B_Ot_Cancer,Integer,Y,"County data, ages 1-14, cancer, other","Data Sources, Definitions, and Notes, Page 10-12"
121,LeadingCausesOfDeath,CI_Min_B_Ot_Cancer,Integer,Y,"Confidence interval lower limit, ages 1-14, cancer, other","Data Sources, Definitions, and Notes, Page 10-12"
122,LeadingCausesOfDeath,CI_Max_B_Ot_Cancer,Integer,Y,"Confidence interval upper limit, ages 1-14, cancer, other","Data Sources, Definitions, and Notes, Page 10-12"
123,LeadingCausesOfDeath,B_Hi_Cancer,Integer,Y,"County data, ages 1-14, cancer, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
124,LeadingCausesOfDeath,CI_Min_B_Hi_Cancer,Integer,Y,"Confidence interval lower limit, ages 1-14, cancer, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
125,LeadingCausesOfDeath,CI_Max_B_Hi_Cancer,Integer,Y,"Confidence interval upper limit, ages 1-14, cancer, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
126,LeadingCausesOfDeath,B_Wh_Homicide,Integer,Y,"County data, ages 1-14, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
127,LeadingCausesOfDeath,CI_Min_B_Wh_Homicide,Integer,Y,"Confidence interval lower limit, ages 1-14, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
128,LeadingCausesOfDeath,CI_Max_B_Wh_Homicide,Integer,Y,"Confidence interval upper limit, ages 1-14, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
129,LeadingCausesOfDeath,B_Bl_Homicide,Integer,Y,"County data, ages 1-14, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
130,LeadingCausesOfDeath,CI_Min_B_Bl_Homicide,Integer,Y,"Confidence interval lower limit, ages 1-14, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
131,LeadingCausesOfDeath,CI_Max_B_Bl_Homicide,Integer,Y,"Confidence interval upper limit, ages 1-14, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
132,LeadingCausesOfDeath,B_Ot_Homicide,Integer,Y,"County data, ages 1-14, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
133,LeadingCausesOfDeath,CI_Min_B_Ot_Homicide,Integer,Y,"Confidence interval lower limit, ages 1-14, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
134,LeadingCausesOfDeath,CI_Max_B_Ot_Homicide,Integer,Y,"Confidence interval upper limit, ages 1-14, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
135,LeadingCausesOfDeath,B_Hi_Homicide,Integer,Y,"County data, ages 1-14, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
136,LeadingCausesOfDeath,CI_Min_B_Hi_Homicide,Integer,Y,"Confidence interval lower limit, ages 1-14, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
137,LeadingCausesOfDeath,CI_Max_B_Hi_Homicide,Integer,Y,"Confidence interval upper limit, ages 1-14, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
138,LeadingCausesOfDeath,C_Wh_Injury,Integer,Y,"County data, ages 15-24, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
139,LeadingCausesOfDeath,CI_Min_C_Wh_Injury,Integer,Y,"Confidence interval lower limit, ages 15-24, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
140,LeadingCausesOfDeath,CI_Max_C_Wh_Injury,Integer,Y,"Confidence interval upper limit, ages 15-24, injuries, White","Data Sources, Definitions, and Notes, Page 10-12"
141,LeadingCausesOfDeath,C_Bl_Injury,Integer,Y,"County data, ages 15-24, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
142,LeadingCausesOfDeath,CI_Min_C_Bl_Injury,Integer,Y,"Confidence interval lower limit, ages 15-24, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
143,LeadingCausesOfDeath,CI_Max_C_Bl_Injury,Integer,Y,"Confidence interval upper limit, ages 15-24, injuries, Black","Data Sources, Definitions, and Notes, Page 10-12"
144,LeadingCausesOfDeath,C_Ot_Injury,Integer,Y,"County data, ages 15-24, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
145,LeadingCausesOfDeath,CI_Min_C_Ot_Injury,Integer,Y,"Confidence interval lower limit, ages 15-24, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
146,LeadingCausesOfDeath,CI_Max_C_Ot_Injury,Integer,Y,"Confidence interval upper limit, ages 15-24, injuries, other","Data Sources, Definitions, and Notes, Page 10-12"
147,LeadingCausesOfDeath,C_Hi_Injury,Integer,Y,"County data, ages 15-24, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
148,LeadingCausesOfDeath,CI_Min_C_Hi_Injury,Integer,Y,"Confidence interval lower limit, ages 15-24, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
149,LeadingCausesOfDeath,CI_Max_C_Hi_Injury,Integer,Y,"Confidence interval upper limit, ages 15-24, injuries, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
150,LeadingCausesOfDeath,C_Wh_Homicide,Integer,Y,"County data, ages 15-24, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
151,LeadingCausesOfDeath,CI_Min_C_Wh_Homicide,Integer,Y,"Confidence interval lower limit, ages 15-24, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
152,LeadingCausesOfDeath,CI_Max_C_Wh_Homicide,Integer,Y,"Confidence interval upper limit, ages 15-24, homicide, White","Data Sources, Definitions, and Notes, Page 10-12"
153,LeadingCausesOfDeath,C_Bl_Homicide,Integer,Y,"County data, ages 15-24, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
154,LeadingCausesOfDeath,CI_Min_C_Bl_Homicide,Integer,Y,"Confidence interval lower limit, ages 15-24, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
155,LeadingCausesOfDeath,CI_Max_C_Bl_Homicide,Integer,Y,"Confidence interval upper limit, ages 15-24, homicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
156,LeadingCausesOfDeath,C_Ot_homicide,Integer,Y,"County data, ages 15-24, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
157,LeadingCausesOfDeath,CI_Min_C_Ot_homicide,Integer,Y,"Confidence interval lower limit, ages 15-24, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
158,LeadingCausesOfDeath,CI_Max_C_Ot_homicide,Integer,Y,"Confidence interval upper limit, ages 15-24, homicide, other","Data Sources, Definitions, and Notes, Page 10-12"
159,LeadingCausesOfDeath,C_Hi_Homicide,Integer,Y,"County data, ages 15-24, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
160,LeadingCausesOfDeath,CI_Min_C_Hi_Homicide,Integer,Y,"Confidence interval lower limit, ages 15-24, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
161,LeadingCausesOfDeath,CI_Max_C_Hi_Homicide,Integer,Y,"Confidence interval upper limit, ages 15-24, homicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
162,LeadingCausesOfDeath,C_Wh_Suicide,Integer,Y,"County data, ages 15-24, suicide, White","Data Sources, Definitions, and Notes, Page 10-12"
163,LeadingCausesOfDeath,CI_Min_C_Wh_Suicide,Integer,Y,"Confidence interval lower limit, ages 15-24, suicide, White","Data Sources, Definitions, and Notes, Page 10-12"
164,LeadingCausesOfDeath,CI_Max_C_Wh_Suicide,Integer,Y,"Confidence interval upper limit, ages 15-24, suicide, White","Data Sources, Definitions, and Notes, Page 10-12"
165,LeadingCausesOfDeath,C_Bl_Suicide,Integer,Y,"County data, ages 15-24, suicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
166,LeadingCausesOfDeath,CI_Min_C_Bl_Suicide,Integer,Y,"Confidence interval lower limit, ages 15-24, suicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
167,LeadingCausesOfDeath,CI_Max_C_Bl_Suicide,Integer,Y,"Confidence interval upper limit, ages 15-24, suicide, Black","Data Sources, Definitions, and Notes, Page 10-12"
168,LeadingCausesOfDeath,C_Ot_Suicide,Integer,Y,"County data, ages 15-24, suicide, other","Data Sources, Definitions, and Notes, Page 10-12"
169,LeadingCausesOfDeath,CI_Min_C_Ot_Suicide,Integer,Y,"Confidence interval lower limit, ages 15-24, suicide, other","Data Sources, Definitions, and Notes, Page 10-12"
170,LeadingCausesOfDeath,CI_Max_C_Ot_Suicide,Integer,Y,"Confidence interval upper limit, ages 15-24, suicide, other","Data Sources, Definitions, and Notes, Page 10-12"
171,LeadingCausesOfDeath,C_Hi_Suicide,Integer,Y,"County data, ages 15-24, suicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
172,LeadingCausesOfDeath,CI_Min_C_Hi_Suicide,Integer,Y,"Confidence interval lower limit, ages 15-24, suicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
173,LeadingCausesOfDeath,CI_Max_C_Hi_Suicide,Integer,Y,"Confidence interval upper limit, ages 15-24, suicide, Hispanic","Data Sources, Definitions, and Notes, Page 10-12"
174,LeadingCausesOfDeath,C_Wh_Cancer,Integer,Y,"County data, ages 15-24, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
175,LeadingCausesOfDeath,CI_Min_C_Wh_Cancer,Integer,Y,"Confidence interval lower limit, ages 15-24, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
176,LeadingCausesOfDeath,CI_Max_C_Wh_Cancer,Integer,Y,"Confidence interval upper limit, ages 15-24, cancer, White","Data Sources, Definitions, and Notes, Page 10-12"
177,LeadingCausesOfDeath,C_Bl_Cancer,Integer,Y,"County data, ages 15-24, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
178,LeadingCausesOfDeath,CI_Min_C_Bl_Cancer,Integer,Y,"Confidence interval lower limit, ages 15-24, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
179,LeadingCausesOfDeath,CI_Max_C_Bl_Cancer,Integer,Y,"Confidence interval upper limit, ages 15-24, cancer, Black","Data Sources, Definitions, and Notes, Page 10-12"
180,LeadingCausesOfDeath,C_Ot_Cancer,Integer,Y,"County data, ages 15-24, cancer, other","Data Sources, Definitions, and Notes, Page 10-12"
181,LeadingCausesOfDeath,CI_Min_C_Ot_Cancer,Integer,Y,"Confidence interval lower limit, ages 15-24, cancer, other","Data Sources, Definitions, and Notes, Page 10-12"
